month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-01-01,1,Portable Computers,14405251072.0,3275284736.0
2025-02-01,1,Portable Computers,11058939904.0,2952677888.0
2025-03-01,1,Portable Computers,14058317824.0,3266190848.0
2025-04-01,1,Portable Computers,10095037440.0,2980721664.0
2025-05-01,1,Portable Computers,13618578432.0,3290297600.0
2025-06-01,1,Portable Computers,13154662400.0,3057180160.0
2025-07-01,1,Portable Computers,13502133248.0,3147218688.0
2025-08-01,1,Portable Computers,13194741760.0,3118053888.0
2025-09-01,1,Portable Computers,11931823104.0,2956933632.0
2025-10-01,1,Portable Computers,12372856832.0,2932015360.0
2025-11-01,1,Portable Computers,13457805312.0,3029251584.0
2025-12-01,1,Portable Computers,11126452224.0,2965595904.0
2025-01-01,2,Cooling Systems,5815560704.0,434099552.0
2025-02-01,2,Cooling Systems,6356375040.0,491344288.0
2025-03-01,2,Cooling Systems,5831585792.0,600979520.0
2025-04-01,2,Cooling Systems,6334420992.0,619777152.0
2025-05-01,2,Cooling Systems,6546217472.0,637886592.0
2025-06-01,2,Cooling Systems,6634981888.0,604889152.0
2025-07-01,2,Cooling Systems,5673542144.0,585603456.0
2025-08-01,2,Cooling Systems,5865418752.0,612312576.0
2025-09-01,2,Cooling Systems,6401091584.0,564100928.0
2025-10-01,2,Cooling Systems,5739939840.0,586363648.0
2025-11-01,2,Cooling Systems,6189319680.0,603131264.0
2025-12-01,2,Cooling Systems,6433797120.0,538327808.0
2025-01-01,3,Frozen Storage Units,1690252160.0,151042288.0
2025-02-01,3,Frozen Storage Units,1600822528.0,149315088.0
2025-03-01,3,Frozen Storage Units,1797258368.0,153944544.0
2025-04-01,3,Frozen Storage Units,1709280896.0,151937296.0
2025-05-01,3,Frozen Storage Units,1872068096.0,161798944.0
2025-06-01,3,Frozen Storage Units,1746781056.0,167713360.0
2025-07-01,3,Frozen Storage Units,1645971200.0,168916240.0
2025-08-01,3,Frozen Storage Units,1578355712.0,169497584.0
2025-09-01,3,Frozen Storage Units,1553903616.0,165453360.0
2025-10-01,3,Frozen Storage Units,1485497856.0,142430272.0
2025-11-01,3,Frozen Storage Units,1583993088.0,133868624.0
2025-12-01,3,Frozen Storage Units,1569452416.0,136350176.0
2025-01-01,4,Laundry Machines,5564478464.0,528860992.0
2025-02-01,4,Laundry Machines,6539450368.0,560506560.0
2025-03-01,4,Laundry Machines,7199638016.0,624191616.0
2025-04-01,4,Laundry Machines,7426123264.0,536949312.0
2025-05-01,4,Laundry Machines,7698124800.0,610774400.0
2025-06-01,4,Laundry Machines,6912252928.0,589142720.0
2025-07-01,4,Laundry Machines,6937881600.0,492467872.0
2025-08-01,4,Laundry Machines,6898130944.0,551050496.0
2025-09-01,4,Laundry Machines,6434734080.0,614387392.0
2025-10-01,4,Laundry Machines,6971248128.0,501869856.0
2025-11-01,4,Laundry Machines,7517407232.0,542938496.0
2025-12-01,4,Laundry Machines,7281251328.0,524627936.0
2025-01-01,5,Dish Cleaning Machines,1545913472.0,218796016.0
2025-02-01,5,Dish Cleaning Machines,1212593792.0,198360992.0
2025-03-01,5,Dish Cleaning Machines,1754549376.0,215221408.0
2025-04-01,5,Dish Cleaning Machines,1534325248.0,220423808.0
2025-05-01,5,Dish Cleaning Machines,1576726144.0,209107280.0
2025-06-01,5,Dish Cleaning Machines,1426765696.0,184060000.0
2025-07-01,5,Dish Cleaning Machines,1448048640.0,225089488.0
2025-08-01,5,Dish Cleaning Machines,1550658304.0,207405056.0
2025-09-01,5,Dish Cleaning Machines,1441639552.0,191017792.0
2025-10-01,5,Dish Cleaning Machines,1551698176.0,206457344.0
2025-11-01,5,Dish Cleaning Machines,1556109568.0,184217472.0
2025-12-01,5,Dish Cleaning Machines,1523533952.0,182641520.0
2025-01-01,6,Microwave Cookers,1644005248.0,239342368.0
2025-02-01,6,Microwave Cookers,1689287296.0,232562144.0
2025-03-01,6,Microwave Cookers,1703507456.0,221036320.0
2025-04-01,6,Microwave Cookers,1603059584.0,234184992.0
2025-05-01,6,Microwave Cookers,1690867200.0,225660768.0
2025-06-01,6,Microwave Cookers,1513998208.0,210782880.0
2025-07-01,6,Microwave Cookers,1483613952.0,171660816.0
2025-08-01,6,Microwave Cookers,1450314240.0,200596512.0
2025-09-01,6,Microwave Cookers,1347240704.0,191959392.0
2025-10-01,6,Microwave Cookers,1255679744.0,176310480.0
2025-11-01,6,Microwave Cookers,1322381824.0,175438080.0
2025-12-01,6,Microwave Cookers,1297157888.0,216846704.0
2025-01-01,7,Kitchen Ventilation Systems,1000000000.0,109541288.0
2025-02-01,7,Kitchen Ventilation Systems,1000000000.0,111484056.0
2025-03-01,7,Kitchen Ventilation Systems,1000000000.0,111380760.0
2025-04-01,7,Kitchen Ventilation Systems,1000000000.0,110490896.0
2025-05-01,7,Kitchen Ventilation Systems,1000000000.0,110443480.0
2025-06-01,7,Kitchen Ventilation Systems,1000000000.0,108908840.0
2025-07-01,7,Kitchen Ventilation Systems,1000000000.0,103913976.0
2025-08-01,7,Kitchen Ventilation Systems,1000000000.0,105428088.0
2025-09-01,7,Kitchen Ventilation Systems,1000000000.0,108351352.0
2025-10-01,7,Kitchen Ventilation Systems,1000000000.0,112056968.0
2025-11-01,7,Kitchen Ventilation Systems,1000000000.0,113154848.0
