month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,1,Portable Computers,14777007104.0,3440917760.0
2024-02-01,1,Portable Computers,13499546624.0,3067014656.0
2024-03-01,1,Portable Computers,13855629312.0,3594542848.0
2024-04-01,1,Portable Computers,12343773184.0,3144634368.0
2024-05-01,1,Portable Computers,13269495808.0,3608469504.0
2024-06-01,1,Portable Computers,10799549440.0,2701810688.0
2024-07-01,1,Portable Computers,12414833664.0,3563111680.0
2024-08-01,1,Portable Computers,11904538624.0,3031884288.0
2024-09-01,1,Portable Computers,11422893056.0,3136997632.0
2024-10-01,1,Portable Computers,11722250240.0,3136245248.0
2024-11-01,1,Portable Computers,12135907328.0,3106743040.0
2024-12-01,1,Portable Computers,10521773056.0,2992504320.0
2024-01-01,2,Cooling Systems,5861708800.0,529982176.0
2024-02-01,2,Cooling Systems,6443983360.0,499004352.0
2024-03-01,2,Cooling Systems,6451219456.0,526800768.0
2024-04-01,2,Cooling Systems,6623856128.0,529548800.0
2024-05-01,2,Cooling Systems,6550406144.0,469100800.0
2024-06-01,2,Cooling Systems,6724987392.0,456539520.0
2024-07-01,2,Cooling Systems,6118609920.0,471670848.0
2024-08-01,2,Cooling Systems,6510136320.0,510150784.0
2024-09-01,2,Cooling Systems,6341848576.0,493511712.0
2024-10-01,2,Cooling Systems,6471512064.0,475735424.0
2024-11-01,2,Cooling Systems,6428775424.0,494011968.0
2024-12-01,2,Cooling Systems,6399686144.0,480407392.0
2024-01-01,3,Frozen Storage Units,1301827328.0,133679288.0
2024-02-01,3,Frozen Storage Units,1336573440.0,135697312.0
2024-03-01,3,Frozen Storage Units,1250835968.0,146000784.0
2024-04-01,3,Frozen Storage Units,1351949440.0,157979328.0
2024-05-01,3,Frozen Storage Units,1612347776.0,172575632.0
2024-06-01,3,Frozen Storage Units,1663742080.0,170770288.0
2024-07-01,3,Frozen Storage Units,1794316800.0,183987904.0
2024-08-01,3,Frozen Storage Units,1578834048.0,183674480.0
2024-09-01,3,Frozen Storage Units,1480591488.0,189498128.0
2024-10-01,3,Frozen Storage Units,1513677312.0,151071536.0
2024-11-01,3,Frozen Storage Units,1297616384.0,147251440.0
2024-12-01,3,Frozen Storage Units,1221598592.0,146196992.0
2024-01-01,4,Laundry Machines,6766511616.0,532180992.0
2024-02-01,4,Laundry Machines,5744119296.0,558857728.0
2024-03-01,4,Laundry Machines,7475940352.0,614035136.0
2024-04-01,4,Laundry Machines,8052344832.0,573755968.0
2024-05-01,4,Laundry Machines,8351115264.0,647586816.0
2024-06-01,4,Laundry Machines,8472283136.0,669110144.0
2024-07-01,4,Laundry Machines,6599740416.0,602704832.0
2024-08-01,4,Laundry Machines,7730008064.0,745658880.0
